Company Name,Industry,Symbol,Series,ISIN Code,yfinance_symbol
3M India Ltd.,Diversified,3MINDIA,EQ,INE470A01017,3MINDIA.NS
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025,ACC.NS
ACME Solar Holdings Ltd.,Power,ACMESOLAR,EQ,INE622W01025,ACMESOLAR.NS
AIA Engineering Ltd.,Capital Goods,AIAENG,EQ,INE212H01026,AIAENG.NS
AWL Agri Business Ltd.,Fast Moving Consumer Goods,AWL,EQ,INE699H01024,AWL.NS
Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC,EQ,INE883F01010,AADHARHFC.NS
Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020,AARTIIND.NS
Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,INE216P01012,AAVAS.NS
Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014,ABBOTINDIA.NS
Action Construction Equipment Ltd.,Capital Goods,ACE,EQ,INE731H01025,ACE.NS
Acutaas Chemicals Ltd.,Healthcare,ACUTAAS,EQ,INE00FF01025,ACUTAAS.NS
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011,ABFRL.NS
Aditya Birla Lifestyle Brands Ltd.,Consumer Services,ABLBL,EQ,INE14LE01019,ABLBL.NS
Aditya Birla Real Estate Ltd.,Realty,ABREL,EQ,INE055A01016,ABREL.NS
Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,EQ,INE404A01024,ABSLAMC.NS
Aditya Infotech Ltd.,Capital Goods,CPPLUS,EQ,INE819V01029,CPPLUS.NS
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG,EQ,INE208C01025,AEGISLOG.NS
Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,AEGISVOPAK,EQ,INE0INX01018,AEGISVOPAK.NS
Afcons Infrastructure Ltd.,Construction,AFCONS,EQ,INE101I01011,AFCONS.NS
Affle 3i Ltd.,Information Technology,AFFLE,EQ,INE00WC01027,AFFLE.NS
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049,AJANTPHARM.NS
Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,ABDL,EQ,INE552Z01027,ABDL.NS
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032,ARE&M.NS
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015,AMBER.NS
Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI,EQ,INE463V01026,ANANDRATHI.NS
Anant Raj Ltd.,Realty,ANANTRAJ,EQ,INE242C01024,ANANTRAJ.NS
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01021,ANGELONE.NS
Anthem Biosciences Ltd.,Healthcare,ANTHEM,EQ,INE0CZ201020,ANTHEM.NS
Anupam Rasayan India Ltd.,Chemicals,ANURAS,EQ,INE930P01018,ANURAS.NS
Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015,APARINDS.NS
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022,APOLLOTYRE.NS
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,EQ,INE852O01025,APTUS.NS
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA,EQ,INE439A01020,ASAHIINDIA.NS
Aster DM Quality Care Ltd.,Healthcare,ASTERDM,EQ,INE914M01019,ASTERDM.NS
Ather Energy Ltd.,Automobile and Auto Components,ATHERENERG,EQ,INE0LEZ01016,ATHERENERG.NS
Atul Ltd.,Chemicals,ATUL,EQ,INE100A01010,ATUL.NS
Authum Investment & Infrastructure Ltd.,Financial Services,AIIL,EQ,INE206F01022,AIIL.NS
BEML Ltd.,Capital Goods,BEML,EQ,INE258A01024,BEML.NS
BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027,BLS.NS
Bajaj Housing Finance Ltd.,Financial Services,BAJAJHFL,EQ,INE377Y01014,BAJAJHFL.NS
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,EQ,INE787D01026,BALKRISIND.NS
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN,EQ,INE119A01028,BALRAMCHIN.NS
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014,BANDHANBNK.NS
Bank of Maharashtra,Financial Services,MAHABANK,EQ,INE457A01014,MAHABANK.NS
Bata India Ltd.,Consumer Durables,BATAINDIA,EQ,INE176A01028,BATAINDIA.NS
Bayer Cropscience Ltd.,Chemicals,BAYERCROP,EQ,INE462A01022,BAYERCROP.NS
Belrise Industries Ltd.,Automobile and Auto Components,BELRISE,EQ,INE894V01022,BELRISE.NS
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ,INE463A01038,BERGEPAINT.NS
Bharti Hexacom Ltd.,Telecommunication,BHARTIHEXA,EQ,INE343G01021,BHARTIHEXA.NS
Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI,EQ,INE00E101023,BIKAJI.NS
Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035,BSOFT.NS
Blue Dart Express Ltd.,Services,BLUEDART,EQ,INE233B01017,BLUEDART.NS
